,Category,x
781,carcas,20
953,chili,20
1446,dessert,20
1505,dog,20
1555,dripping,20
1579,dumpling,20
1594,dyed,20
1627,eighth,20
1883,flush,20
2081,glace,20
2944,manchego,20
3038,mcintosh,20
3068,membrane,20
3125,miniature,20
3347,nori,20
3524,page,20
3703,pick,20
4012,quinc,20
4209,robust,20
4218,roe,20
4226,roma,20
4328,sanding,20
4392,schnapp,20
4463,separately,20
398,bia,19
464,blueberry,19
855,cellophane,19
971,chive,19
1023,citru,19
1158,cooker,19
1178,corkscrew,19
1403,decorative,19
1482,direction,19
1861,flaxseed,19
2254,hanger,19
2677,ladyfinger,19
2953,manila,19
3366,null,19
3512,packaged,19
3515,packet,19
3679,perugina,19
3850,possible,19
4055,rasp,19
4140,resealable,19
4628,slaw,19
4788,spread,19
4827,stale,19
5159,thinning,19
5162,thoroughly,19
5595,whisked,19
5648,work,19
404,big,18
437,blanco,18
601,broccolini,18
621,brush,18
654,burrata,18
698,cak,18
863,ceramic,18
1182,corned,18
1237,creamed,18
1277,crown,18
1698,european,18
1761,feather,18
2194,guacamole,18
2203,guinnes,18
2537,juiced,18
2584,kept,18
2621,kneading,18
2795,lingui,18
2939,mam,18
2971,marcona,18
3041,measure,18
3042,measured,18
3077,merlot,18
3094,microplane,18
3519,paddle,18
4727,southeast,18
4753,spelt,18
4914,stuck,18
5025,taco,18
5110,tendril,18
5180,tight,18
5183,tilapia,18
5485,vertically,18
5619,william,18
63,ahi,17
525,bouquet,17
548,bran,17
957,chimney,17
1163,cool,17
1358,custard,17
1425,demerara,17
1598,earl,17
2330,hispanic,17
2695,larger,17
2920,mak,17
3030,matzoh,17
3067,membran,17
3423,on,17
3645,peperoncini,17
3920,prime,17
4051,rare,17
4170,rich,17
4357,saut,17
4735,spaghettini,17
4866,still,17
4962,super,17
5059,tapenade,17
5287,trimming,17
5296,truffl,17
5339,twenty,17
5637,won,17
476,bodied,16
887,char,16
933,chia,16
977,choice,16
1038,clementin,16
1376,dampened,16
1813,finger,16
1912,form,16
2084,glass,16
2223,haddock,16
2574,keep,16
2580,kelp,16
2886,mackerel,16
2951,mani,16
3171,monkfish,16
3525,pain,16
3557,pappardelle,16
3759,pit,16
3806,point,16
3878,praline,16
4123,remainder,16
4247,rotini,16
4379,scaled,16
4603,sixteen,16
5420,untrimmed,16
5476,verbena,16
184,arctic,15
260,backbon,15
430,blackstrap,15
545,braised,15
652,burner,15
735,candi,15
741,canela,15
772,cara,15
816,casserole,15
864,cereal,15
941,chicory,15
965,chipotl,15
1121,completely,15
1515,don,15
1653,enchilada,15
1834,fitting,15
1844,flanken,15
1911,fork,15
2101,gnocchi,15
2169,griddle,15
2355,honeycrisp,15
2473,island,15
2475,israeli,15
2714,lb,15
2916,maitake,15
2937,malted,15
2945,mandarin,15
3053,mediterranean,15
3233,muscl,15
3282,need,15
3286,needlenose,15
3489,oval,15
3753,pippin,15
3779,plat,15
3784,pliable,15
3808,poire,15
3843,porter,15
4013,quince,15
4075,recip,15
4092,rectangular,15
4124,remaining,15
4264,rubbing,15
4326,san,15
4411,seafood,15
4575,sift,15
4623,skor,15
4648,slow,15
4997,szechuan,15
5091,teardrop,15
5141,they,15
5309,tub,15
5324,turbot,15
5408,unsmoked,15
51,after,14
267,baguett,14
560,bratwurst,14
619,bruised,14
644,bundt,14
678,buttery,14
803,carton,14
1053,clover,14
1154,converted,14
1269,cros,14
1390,date,14
1479,dipping,14
1773,fenugreek,14
1822,fire,14
2080,glac,14
2107,gochugaru,14
2156,gray,14
2188,grouper,14
2213,gutted,14
2344,holland,14
2451,inside,14
2458,instruction,14
2575,keeping,14
2743,lemonade,14
2800,lining,14
2841,loosen,14
2994,marrow,14
3113,millet,14
3145,mizuna,14
3253,naan,14
3503,oxtail,14
3781,platter,14
3959,pulled,14
4050,rapini,14
4396,scooped,14
4408,scrod,14
4474,set,14
4583,silpat,14
4715,sorrel,14
4839,starter,14
5028,tagliatelle,14
5190,tin,14
5226,ton,14
5276,tri,14
5589,which,14
5598,whisky,14
5652,wrap,14
21,achiote,13
31,add,13
231,atar,13
395,beurre,13
650,burgundy,13
761,capacity,13
764,capellini,13
1048,cloth,13
1073,cockl,13
1149,containing,13
1490,discarding,13
